,apmitchell,crossy,dwieman,dwoloch,eugeneg,gcheng,glenbo_nj,gordenlam,gordenlam,huyehara,ivankollar,jbrumley71,johnarcher,kharden,kharden,mkoza,mrivers,npile,orangey17,rexjacobsen,rgarga,rmeyers,sackingswin,stevekus,todd_hagopian,,treauxjan,whimelsein,,,,,,,,791branko,athompson,dcanaan,guyvega,the_barnacle,vanmeerten,todd_hagopian,rrurban,adevkota,ahknaten,jnavin,crees,dwoloch,ist.martin,jerrypettit,moonrunreport1,timbo56,loosegun
,APMIF,CIAF,DWVMF,DXF,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,KMF,TGF,RCAP,NMF,OMF,RMF,RMF,BSMF,NBNN,aval,HIBEV,Top Mutual Funds,LDGF,LFF,,,S&P 500,,,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10STX,DMF,ORR,PEF,MIDIX,SSOF1,BPMF
# of Accts,5 or less,600.00000%,5 or less,,5 or less,,5 or less,5 or less,5 or less,1900.00000%,5 or less,5 or less,5 or less,,,5 or less,,600.00000%,,5 or less,5 or less,5 or less,5 or less,,5 or less,,,600.00000%,,,,,,,# of Accts,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,,,1000.00000%,,,,,5 or less,,5 or fewer,5 or less
AUM,9191087.00000%,22074284.00000%,4363629.00000%,,1401260.00000%,,5723525.00000%,3040659.00000%,2210589.00000%,169026200.00000%,1807358.00000%,2051960.00000%,4684743.00000%,,,5181100.00000%,,27362878.00000%,,15914175.00000%,5267339.00000%,14433585.00000%,2628687.00000%,,2087460.00000%,,,63473740.00000%,,,,,,,AUM,4146500.00000%,3162700.00000%,2186095.00000%,2131787.00000%,3709150.00000%,440986.00000%,2401673.00000%,,,49226753.00000%,,,,,6093469.00000%,,2862497.00000%,1588879.00000%
Dispersion,0.18000%,0.27000%,0.00000%,,0.00000%,,0.00000%,0.00000%,0.00000%,0.24000%,0.00000%,0.00000%,0.00000%,,,0.61000%,,0.03000%,,0.00000%,0.00000%,0.00000%,0.00000%,,0.00000%,,,0.02000%,,,,,,,Dispersion,0.13000%,0.01000%,0.02000%,0.00000%,0.00000%,0.00000%,0.00000%,,,0.92000%,,,,,0.13000%,,0.02000%,0.00000%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APMIF,CIAF,DWVMF,,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,,TGF,RCAP,NMF,OMF,RJ RMF,RMF,BSMF,NBNN,aval,HIBEV,,,LFF,,,S&P 500,,S&P 500  TR,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10stx,,ORR,PEF,MIDIX,SSOF1,BPMF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.00000%,,,,,,,,,,,,,,,,,,,,,,,,
4276600.00000%,5.42082%,3.10257%,2.66883%,,5.08418%,,7.37946%,4.52751%,3.73580%,6.08717%,-2.95538%,-0.92408%,3.64667%,,,-3.32597%,,5.23255%,,2.48731%,2.78684%,3.23803%,3.07496%,,8.61373%,,,7.94495%,1079449.50000%,,1.79000%,4276600.00000%,,,4276600.00000%,9.03808%,1.19144%,1.96582%,2.39035%,,2.80682%,2.49994%,,,-0.86044%,6.37978%,4.24128%,,5.64735%,1.49859%,,2.45174%,1.33434%
4279400.00000%,4.05434%,0.58314%,3.34800%,,1.90576%,,1.51835%,1.23318%,-0.91898%,3.32751%,2.26622%,1.40339%,3.30650%,,,5.31083%,,-1.93622%,,2.40284%,2.87189%,5.17236%,1.86736%,0.39202%,13.21949%,,,3.68163%,1119190.83663%,,3.72000%,4279400.00000%,,,4279400.00000%,-1.41495%,1.82611%,4.44510%,6.06258%,,3.98050%,4.75125%,-0.15273%,,1.70877%,-6.22807%,-2.74886%,,16.10392%,0.83417%,,2.91241%,-0.59749%
4282500.00000%,0.61729%,-1.18307%,0.72274%,,0.30200%,,4.49104%,2.82778%,-1.41457%,9.56000%,0.49824%,-3.77836%,1.09166%,,,4.13060%,0.06254%,-1.92372%,1.86503%,2.02722%,-0.64048%,2.45792%,1.18058%,2.60909%,1.64615%,,-0.20001%,4.57544%,1170398.74184%,,-0.04000%,4282500.00000%,,,4282500.00000%,-2.89978%,-6.61821%,2.70179%,-0.48124%,,-2.63682%,-2.16249%,-3.23970%,,-0.40717%,-1.53727%,-1.65060%,,0.94068%,2.97572%,2.09018%,0.95549%,-1.75625%
